,Country,Indicator,Year,Amount
3230,Norway,RD&D per thousand units of GDP,2008,0.302
400,Belgium,RD&D per thousand units of GDP,1998,0.303
1933,Ireland,RD&D per thousand units of GDP,1980,0.304
1519,Germany,RD&D per thousand units of GDP,1989,0.304
3761,Spain,RD&D per thousand units of GDP,1975,0.304
3762,Spain,RD&D per thousand units of GDP,1976,0.305
2958,Netherlands,RD&D per thousand units of GDP,2018,0.305
3928,Sweden,RD&D per thousand units of GDP,2001,0.305
101,Australia,RD&D per thousand units of GDP,1981,0.311
3760,Spain,RD&D per thousand units of GDP,1974,0.311
3228,Norway,RD&D per thousand units of GDP,2006,0.311
242,Austria,RD&D per thousand units of GDP,1981,0.311
244,Austria,RD&D per thousand units of GDP,1983,0.311
4078,Switzerland,RD&D per thousand units of GDP,2010,0.314
3521,Portugal,RD&D per thousand units of GDP,2017,0.314
3520,Portugal,RD&D per thousand units of GDP,2016,0.315
246,Austria,RD&D per thousand units of GDP,1985,0.315
4486,United States,RD&D per thousand units of GDP,1995,0.315
1548,Germany,RD&D per thousand units of GDP,2018,0.315
3217,Norway,RD&D per thousand units of GDP,1995,0.316
4367,United Kingdom,RD&D per thousand units of GDP,2017,0.316
4484,United States,RD&D per thousand units of GDP,1993,0.317
4501,United States,RD&D per thousand units of GDP,2010,0.318
240,Austria,RD&D per thousand units of GDP,1979,0.318
841,Czech Republic,RD&D per thousand units of GDP,2016,0.318
4360,United Kingdom,RD&D per thousand units of GDP,2010,0.318
1961,Ireland,RD&D per thousand units of GDP,2008,0.32
4072,Switzerland,RD&D per thousand units of GDP,2004,0.32
270,Austria,RD&D per thousand units of GDP,2009,0.32
238,Austria,RD&D per thousand units of GDP,1977,0.321
1934,Ireland,RD&D per thousand units of GDP,1981,0.322
3930,Sweden,RD&D per thousand units of GDP,2003,0.322
3522,Portugal,RD&D per thousand units of GDP,2018,0.323
3768,Spain,RD&D per thousand units of GDP,1982,0.324
4076,Switzerland,RD&D per thousand units of GDP,2008,0.324
959,Denmark,RD&D per thousand units of GDP,1993,0.325
700,Canada,RD&D per thousand units of GDP,2016,0.326
2105,Italy,RD&D per thousand units of GDP,2011,0.326
3931,Sweden,RD&D per thousand units of GDP,2004,0.327
4508,United States,RD&D per thousand units of GDP,2017,0.327
1547,Germany,RD&D per thousand units of GDP,2017,0.327
3929,Sweden,RD&D per thousand units of GDP,2002,0.328
2107,Italy,RD&D per thousand units of GDP,2013,0.328
943,Denmark,RD&D per thousand units of GDP,1977,0.328
3657,Slovak Republic,RD&D per thousand units of GDP,2012,0.329
3939,Sweden,RD&D per thousand units of GDP,2012,0.329
971,Denmark,RD&D per thousand units of GDP,2005,0.329
3207,Norway,RD&D per thousand units of GDP,1985,0.33
2941,Netherlands,RD&D per thousand units of GDP,2001,0.33
3765,Spain,RD&D per thousand units of GDP,1979,0.331
4506,United States,RD&D per thousand units of GDP,2015,0.332
2949,Netherlands,RD&D per thousand units of GDP,2009,0.332
4507,United States,RD&D per thousand units of GDP,2016,0.333
3519,Portugal,RD&D per thousand units of GDP,2015,0.333
3920,Sweden,RD&D per thousand units of GDP,1993,0.334
4483,United States,RD&D per thousand units of GDP,1992,0.334
1962,Ireland,RD&D per thousand units of GDP,2009,0.334
243,Austria,RD&D per thousand units of GDP,1982,0.335
2939,Netherlands,RD&D per thousand units of GDP,1999,0.335
4339,United Kingdom,RD&D per thousand units of GDP,1989,0.335
4485,United States,RD&D per thousand units of GDP,1994,0.335
958,Denmark,RD&D per thousand units of GDP,1992,0.336
3060,New Zealand,RD&D per thousand units of GDP,1979,0.336
241,Austria,RD&D per thousand units of GDP,1980,0.336
2947,Netherlands,RD&D per thousand units of GDP,2007,0.336
553,Brazil,RD&D per thousand units of GDP,2010,0.337
3658,Slovak Republic,RD&D per thousand units of GDP,2013,0.337
3921,Sweden,RD&D per thousand units of GDP,1994,0.338
1549,Germany,RD&D per thousand units of GDP,2019,0.339
2395,Korea,RD&D per thousand units of GDP,2019,0.339
2394,Korea,RD&D per thousand units of GDP,2018,0.34
124,Australia,RD&D per thousand units of GDP,2004,0.34
245,Austria,RD&D per thousand units of GDP,1984,0.34
130,Australia,RD&D per thousand units of GDP,2010,0.342
2108,Italy,RD&D per thousand units of GDP,2014,0.342
3918,Sweden,RD&D per thousand units of GDP,1991,0.342
842,Czech Republic,RD&D per thousand units of GDP,2017,0.342
3938,Sweden,RD&D per thousand units of GDP,2011,0.345
2106,Italy,RD&D per thousand units of GDP,2012,0.345
3229,Norway,RD&D per thousand units of GDP,2007,0.346
4368,United Kingdom,RD&D per thousand units of GDP,2018,0.346
3206,Norway,RD&D per thousand units of GDP,1984,0.347
982,Denmark,RD&D per thousand units of GDP,2016,0.349
680,Canada,RD&D per thousand units of GDP,1996,0.35
689,Canada,RD&D per thousand units of GDP,2005,0.351
4077,Switzerland,RD&D per thousand units of GDP,2009,0.352
2393,Korea,RD&D per thousand units of GDP,2017,0.352
3656,Slovak Republic,RD&D per thousand units of GDP,2011,0.352
974,Denmark,RD&D per thousand units of GDP,2008,0.352
129,Australia,RD&D per thousand units of GDP,2009,0.353
4068,Switzerland,RD&D per thousand units of GDP,2000,0.353
4504,United States,RD&D per thousand units of GDP,2013,0.353
843,Czech Republic,RD&D per thousand units of GDP,2018,0.354
2381,Korea,RD&D per thousand units of GDP,2005,0.354
2959,Netherlands,RD&D per thousand units of GDP,2019,0.354
3373,Poland,RD&D per thousand units of GDP,2010,0.355
3064,New Zealand,RD&D per thousand units of GDP,1983,0.355
2938,Netherlands,RD&D per thousand units of GDP,1998,0.355
4505,United States,RD&D per thousand units of GDP,2014,0.355
4069,Switzerland,RD&D per thousand units of GDP,2001,0.356
972,Denmark,RD&D per thousand units of GDP,2006,0.357
1238,Finland,RD&D per thousand units of GDP,1990,0.357
3209,Norway,RD&D per thousand units of GDP,1987,0.358
4509,United States,RD&D per thousand units of GDP,2018,0.359
1383,France,RD&D per thousand units of GDP,1994,0.359
419,Belgium,RD&D per thousand units of GDP,2017,0.36
3767,Spain,RD&D per thousand units of GDP,1981,0.361
3944,Sweden,RD&D per thousand units of GDP,2017,0.362
3066,New Zealand,RD&D per thousand units of GDP,1985,0.362
3946,Sweden,RD&D per thousand units of GDP,2019,0.364
4079,Switzerland,RD&D per thousand units of GDP,2011,0.365
1550,Germany,RD&D per thousand units of GDP,2020,0.365
1518,Germany,RD&D per thousand units of GDP,1988,0.366
3208,Norway,RD&D per thousand units of GDP,1986,0.367
3210,Norway,RD&D per thousand units of GDP,1988,0.368
4046,Switzerland,RD&D per thousand units of GDP,1978,0.368
2935,Netherlands,RD&D per thousand units of GDP,1995,0.368
2936,Netherlands,RD&D per thousand units of GDP,1996,0.369
2392,Korea,RD&D per thousand units of GDP,2016,0.37
4070,Switzerland,RD&D per thousand units of GDP,2002,0.371
3945,Sweden,RD&D per thousand units of GDP,2018,0.371
3940,Sweden,RD&D per thousand units of GDP,2013,0.372
701,Canada,RD&D per thousand units of GDP,2017,0.373
276,Austria,RD&D per thousand units of GDP,2015,0.373
280,Austria,RD&D per thousand units of GDP,2019,0.375
4510,United States,RD&D per thousand units of GDP,2019,0.376
4071,Switzerland,RD&D per thousand units of GDP,2003,0.376
420,Belgium,RD&D per thousand units of GDP,2018,0.376
278,Austria,RD&D per thousand units of GDP,2017,0.377
273,Austria,RD&D per thousand units of GDP,2012,0.377
4080,Switzerland,RD&D per thousand units of GDP,2012,0.378
1386,France,RD&D per thousand units of GDP,1997,0.378
3766,Spain,RD&D per thousand units of GDP,1980,0.379
4081,Switzerland,RD&D per thousand units of GDP,2013,0.379
4503,United States,RD&D per thousand units of GDP,2012,0.381
3917,Sweden,RD&D per thousand units of GDP,1990,0.381
4480,United States,RD&D per thousand units of GDP,1989,0.383
274,Austria,RD&D per thousand units of GDP,2013,0.384
3205,Norway,RD&D per thousand units of GDP,1983,0.384
1385,France,RD&D per thousand units of GDP,1996,0.386
679,Canada,RD&D per thousand units of GDP,1995,0.387
3943,Sweden,RD&D per thousand units of GDP,2016,0.387
417,Belgium,RD&D per thousand units of GDP,2015,0.387
3941,Sweden,RD&D per thousand units of GDP,2014,0.388
3374,Poland,RD&D per thousand units of GDP,2011,0.388
1251,Finland,RD&D per thousand units of GDP,2003,0.389
272,Austria,RD&D per thousand units of GDP,2011,0.39
1387,France,RD&D per thousand units of GDP,1998,0.39
2384,Korea,RD&D per thousand units of GDP,2008,0.391
3942,Sweden,RD&D per thousand units of GDP,2015,0.392
279,Austria,RD&D per thousand units of GDP,2018,0.393
418,Belgium,RD&D per thousand units of GDP,2016,0.393
1381,France,RD&D per thousand units of GDP,1992,0.393
1382,France,RD&D per thousand units of GDP,1993,0.393
131,Australia,RD&D per thousand units of GDP,2011,0.394
277,Austria,RD&D per thousand units of GDP,2016,0.394
2937,Netherlands,RD&D per thousand units of GDP,1997,0.396
1389,France,RD&D per thousand units of GDP,2000,0.397
3216,Norway,RD&D per thousand units of GDP,1994,0.397
3065,New Zealand,RD&D per thousand units of GDP,1984,0.398
239,Austria,RD&D per thousand units of GDP,1978,0.398
4067,Switzerland,RD&D per thousand units of GDP,1999,0.401
413,Belgium,RD&D per thousand units of GDP,2011,0.401
691,Canada,RD&D per thousand units of GDP,2007,0.402
3063,New Zealand,RD&D per thousand units of GDP,1982,0.402
2391,Korea,RD&D per thousand units of GDP,2015,0.403
2380,Korea,RD&D per thousand units of GDP,2004,0.403
559,Brazil,RD&D per thousand units of GDP,2016,0.403
690,Canada,RD&D per thousand units of GDP,2006,0.405
678,Canada,RD&D per thousand units of GDP,1994,0.406
4478,United States,RD&D per thousand units of GDP,1987,0.407
1817,Hungary,RD&D per thousand units of GDP,2005,0.408
271,Austria,RD&D per thousand units of GDP,2010,0.409
4369,United Kingdom,RD&D per thousand units of GDP,2019,0.409
944,Denmark,RD&D per thousand units of GDP,1978,0.41
4502,United States,RD&D per thousand units of GDP,2011,0.41
692,Canada,RD&D per thousand units of GDP,2008,0.411
1384,France,RD&D per thousand units of GDP,1995,0.412
4479,United States,RD&D per thousand units of GDP,1988,0.413
416,Belgium,RD&D per thousand units of GDP,2014,0.414
4066,Switzerland,RD&D per thousand units of GDP,1998,0.414
1239,Finland,RD&D per thousand units of GDP,1991,0.415
845,Czech Republic,RD&D per thousand units of GDP,2020,0.416
3916,Sweden,RD&D per thousand units of GDP,1989,0.417
554,Brazil,RD&D per thousand units of GDP,2011,0.417
3914,Sweden,RD&D per thousand units of GDP,1987,0.418
4481,United States,RD&D per thousand units of GDP,1990,0.418
4511,United States,RD&D per thousand units of GDP,2020,0.419
3915,Sweden,RD&D per thousand units of GDP,1988,0.42
4052,Switzerland,RD&D per thousand units of GDP,1984,0.421
3937,Sweden,RD&D per thousand units of GDP,2010,0.421
4482,United States,RD&D per thousand units of GDP,1991,0.422
677,Canada,RD&D per thousand units of GDP,1993,0.423
4050,Switzerland,RD&D per thousand units of GDP,1982,0.424
390,Belgium,RD&D per thousand units of GDP,1988,0.424
1380,France,RD&D per thousand units of GDP,1991,0.427
3215,Norway,RD&D per thousand units of GDP,1993,0.428
973,Denmark,RD&D per thousand units of GDP,2007,0.428
275,Austria,RD&D per thousand units of GDP,2014,0.429
3919,Sweden,RD&D per thousand units of GDP,1992,0.431
1517,Germany,RD&D per thousand units of GDP,1987,0.431
558,Brazil,RD&D per thousand units of GDP,2015,0.431
3936,Sweden,RD&D per thousand units of GDP,2009,0.431
3212,Norway,RD&D per thousand units of GDP,1990,0.431
2390,Korea,RD&D per thousand units of GDP,2014,0.432
1249,Finland,RD&D per thousand units of GDP,2001,0.434
2387,Korea,RD&D per thousand units of GDP,2011,0.434
4053,Switzerland,RD&D per thousand units of GDP,1985,0.436
1379,France,RD&D per thousand units of GDP,1990,0.437
2537,Lithuania,RD&D per thousand units of GDP,2020,0.439
1388,France,RD&D per thousand units of GDP,1999,0.441
975,Denmark,RD&D per thousand units of GDP,2009,0.442
3211,Norway,RD&D per thousand units of GDP,1989,0.442
4049,Switzerland,RD&D per thousand units of GDP,1981,0.443
2382,Korea,RD&D per thousand units of GDP,2006,0.443
4051,Switzerland,RD&D per thousand units of GDP,1983,0.444
4338,United Kingdom,RD&D per thousand units of GDP,1988,0.446
699,Canada,RD&D per thousand units of GDP,2015,0.449
4054,Switzerland,RD&D per thousand units of GDP,1986,0.45
1240,Finland,RD&D per thousand units of GDP,1992,0.451
4056,Switzerland,RD&D per thousand units of GDP,1988,0.452
4055,Switzerland,RD&D per thousand units of GDP,1987,0.453
103,Australia,RD&D per thousand units of GDP,1983,0.453
4082,Switzerland,RD&D per thousand units of GDP,2014,0.455
986,Denmark,RD&D per thousand units of GDP,2020,0.455
3947,Sweden,RD&D per thousand units of GDP,2020,0.456
3062,New Zealand,RD&D per thousand units of GDP,1981,0.459
2385,Korea,RD&D per thousand units of GDP,2009,0.46
4065,Switzerland,RD&D per thousand units of GDP,1997,0.46
560,Brazil,RD&D per thousand units of GDP,2017,0.461
1241,Finland,RD&D per thousand units of GDP,1993,0.464
703,Canada,RD&D per thousand units of GDP,2019,0.465
2389,Korea,RD&D per thousand units of GDP,2013,0.467
3213,Norway,RD&D per thousand units of GDP,1991,0.467
4047,Switzerland,RD&D per thousand units of GDP,1979,0.467
2386,Korea,RD&D per thousand units of GDP,2010,0.469
698,Canada,RD&D per thousand units of GDP,2014,0.469
2932,Netherlands,RD&D per thousand units of GDP,1992,0.47
4337,United Kingdom,RD&D per thousand units of GDP,1987,0.471
4048,Switzerland,RD&D per thousand units of GDP,1980,0.474
2928,Netherlands,RD&D per thousand units of GDP,1988,0.474
4477,United States,RD&D per thousand units of GDP,1986,0.474
3204,Norway,RD&D per thousand units of GDP,1982,0.475
1250,Finland,RD&D per thousand units of GDP,2002,0.475
1395,France,RD&D per thousand units of GDP,2006,0.475
1378,France,RD&D per thousand units of GDP,1989,0.477
1253,Finland,RD&D per thousand units of GDP,2005,0.478
1248,Finland,RD&D per thousand units of GDP,2000,0.48
2388,Korea,RD&D per thousand units of GDP,2012,0.481
1818,Hungary,RD&D per thousand units of GDP,2006,0.481
3214,Norway,RD&D per thousand units of GDP,1992,0.482
4057,Switzerland,RD&D per thousand units of GDP,1989,0.485
1396,France,RD&D per thousand units of GDP,2007,0.486
2252,Japan,RD&D per thousand units of GDP,2017,0.488
1394,France,RD&D per thousand units of GDP,2005,0.489
1118,Estonia,RD&D per thousand units of GDP,2011,0.489
1406,France,RD&D per thousand units of GDP,2017,0.491
4064,Switzerland,RD&D per thousand units of GDP,1996,0.491
556,Brazil,RD&D per thousand units of GDP,2013,0.492
2914,Netherlands,RD&D per thousand units of GDP,1974,0.494
1393,France,RD&D per thousand units of GDP,2004,0.494
415,Belgium,RD&D per thousand units of GDP,2013,0.496
2931,Netherlands,RD&D per thousand units of GDP,1991,0.497
2383,Korea,RD&D per thousand units of GDP,2007,0.497
3903,Sweden,RD&D per thousand units of GDP,1976,0.498
421,Belgium,RD&D per thousand units of GDP,2019,0.498
1407,France,RD&D per thousand units of GDP,2018,0.498
1405,France,RD&D per thousand units of GDP,2016,0.499
132,Australia,RD&D per thousand units of GDP,2012,0.502
945,Denmark,RD&D per thousand units of GDP,1979,0.503
1252,Finland,RD&D per thousand units of GDP,2004,0.504
4058,Switzerland,RD&D per thousand units of GDP,1990,0.507
4083,Switzerland,RD&D per thousand units of GDP,2015,0.509
2085,Italy,RD&D per thousand units of GDP,1991,0.51
1408,France,RD&D per thousand units of GDP,2019,0.51
2929,Netherlands,RD&D per thousand units of GDP,1989,0.511
676,Canada,RD&D per thousand units of GDP,1992,0.511
844,Czech Republic,RD&D per thousand units of GDP,2019,0.513
551,Brazil,RD&D per thousand units of GDP,2008,0.514
4063,Switzerland,RD&D per thousand units of GDP,1995,0.515
4059,Switzerland,RD&D per thousand units of GDP,1991,0.515
2933,Netherlands,RD&D per thousand units of GDP,1993,0.515
675,Canada,RD&D per thousand units of GDP,1991,0.517
702,Canada,RD&D per thousand units of GDP,2018,0.519
557,Brazil,RD&D per thousand units of GDP,2014,0.52
1397,France,RD&D per thousand units of GDP,2008,0.521
2251,Japan,RD&D per thousand units of GDP,2016,0.521
4465,United States,RD&D per thousand units of GDP,1974,0.523
2930,Netherlands,RD&D per thousand units of GDP,1990,0.524
1392,France,RD&D per thousand units of GDP,2003,0.528
2934,Netherlands,RD&D per thousand units of GDP,1994,0.529
1242,Finland,RD&D per thousand units of GDP,1994,0.53
1829,Hungary,RD&D per thousand units of GDP,2017,0.53
389,Belgium,RD&D per thousand units of GDP,1987,0.531
3913,Sweden,RD&D per thousand units of GDP,1986,0.532
561,Brazil,RD&D per thousand units of GDP,2018,0.533
3203,Norway,RD&D per thousand units of GDP,1981,0.534
1391,France,RD&D per thousand units of GDP,2002,0.534
4062,Switzerland,RD&D per thousand units of GDP,1994,0.535
4087,Switzerland,RD&D per thousand units of GDP,2019,0.536
1377,France,RD&D per thousand units of GDP,1988,0.54
981,Denmark,RD&D per thousand units of GDP,2015,0.541
4476,United States,RD&D per thousand units of GDP,1985,0.545
4086,Switzerland,RD&D per thousand units of GDP,2018,0.545
2927,Netherlands,RD&D per thousand units of GDP,1987,0.545
674,Canada,RD&D per thousand units of GDP,1990,0.545
414,Belgium,RD&D per thousand units of GDP,2012,0.546
2950,Netherlands,RD&D per thousand units of GDP,2010,0.548
1404,France,RD&D per thousand units of GDP,2015,0.548
1244,Finland,RD&D per thousand units of GDP,1996,0.55
673,Canada,RD&D per thousand units of GDP,1989,0.55
4061,Switzerland,RD&D per thousand units of GDP,1993,0.555
4088,Switzerland,RD&D per thousand units of GDP,2020,0.555
2071,Italy,RD&D per thousand units of GDP,1977,0.556
2072,Italy,RD&D per thousand units of GDP,1978,0.558
1399,France,RD&D per thousand units of GDP,2010,0.559
2250,Japan,RD&D per thousand units of GDP,2015,0.559
4060,Switzerland,RD&D per thousand units of GDP,1992,0.56
980,Denmark,RD&D per thousand units of GDP,2014,0.561
2209,Japan,RD&D per thousand units of GDP,1974,0.562
3061,New Zealand,RD&D per thousand units of GDP,1980,0.562
2084,Italy,RD&D per thousand units of GDP,1990,0.564
3769,Spain,RD&D per thousand units of GDP,1983,0.565
1516,Germany,RD&D per thousand units of GDP,1986,0.565
2926,Netherlands,RD&D per thousand units of GDP,1986,0.567
550,Brazil,RD&D per thousand units of GDP,2007,0.567
4475,United States,RD&D per thousand units of GDP,1984,0.567
2254,Japan,RD&D per thousand units of GDP,2019,0.568
2924,Netherlands,RD&D per thousand units of GDP,1984,0.569
1403,France,RD&D per thousand units of GDP,2014,0.569
3902,Sweden,RD&D per thousand units of GDP,1975,0.57
2669,Luxembourg,RD&D per thousand units of GDP,2011,0.571
4336,United Kingdom,RD&D per thousand units of GDP,1986,0.572
695,Canada,RD&D per thousand units of GDP,2011,0.576
4084,Switzerland,RD&D per thousand units of GDP,2016,0.577
2915,Netherlands,RD&D per thousand units of GDP,1975,0.579
4085,Switzerland,RD&D per thousand units of GDP,2017,0.582
1652,Greece,RD&D per thousand units of GDP,1981,0.583
2253,Japan,RD&D per thousand units of GDP,2018,0.583
1254,Finland,RD&D per thousand units of GDP,2006,0.584
978,Denmark,RD&D per thousand units of GDP,2012,0.587
1243,Finland,RD&D per thousand units of GDP,1995,0.59
1398,France,RD&D per thousand units of GDP,2009,0.592
2255,Japan,RD&D per thousand units of GDP,2020,0.593
2248,Japan,RD&D per thousand units of GDP,2013,0.594
1402,France,RD&D per thousand units of GDP,2013,0.6
133,Australia,RD&D per thousand units of GDP,2013,0.601
1401,France,RD&D per thousand units of GDP,2012,0.603
1267,Finland,RD&D per thousand units of GDP,2019,0.605
1400,France,RD&D per thousand units of GDP,2011,0.607
1819,Hungary,RD&D per thousand units of GDP,2007,0.612
1247,Finland,RD&D per thousand units of GDP,1999,0.613
552,Brazil,RD&D per thousand units of GDP,2009,0.617
979,Denmark,RD&D per thousand units of GDP,2013,0.618
704,Canada,RD&D per thousand units of GDP,2020,0.622
3202,Norway,RD&D per thousand units of GDP,1980,0.625
1376,France,RD&D per thousand units of GDP,1987,0.634
672,Canada,RD&D per thousand units of GDP,1988,0.635
422,Belgium,RD&D per thousand units of GDP,2020,0.635
693,Canada,RD&D per thousand units of GDP,2009,0.642
388,Belgium,RD&D per thousand units of GDP,1986,0.644
3200,Norway,RD&D per thousand units of GDP,1978,0.649
3904,Sweden,RD&D per thousand units of GDP,1977,0.649
2210,Japan,RD&D per thousand units of GDP,1975,0.657
2083,Italy,RD&D per thousand units of GDP,1989,0.662
2923,Netherlands,RD&D per thousand units of GDP,1983,0.664
2249,Japan,RD&D per thousand units of GDP,2014,0.674
977,Denmark,RD&D per thousand units of GDP,2011,0.678
4500,United States,RD&D per thousand units of GDP,2009,0.679
1246,Finland,RD&D per thousand units of GDP,1998,0.679
2211,Japan,RD&D per thousand units of GDP,1976,0.68
2922,Netherlands,RD&D per thousand units of GDP,1982,0.683
1375,France,RD&D per thousand units of GDP,1986,0.696
696,Canada,RD&D per thousand units of GDP,2012,0.697
3201,Norway,RD&D per thousand units of GDP,1979,0.699
1651,Greece,RD&D per thousand units of GDP,1980,0.7
2073,Italy,RD&D per thousand units of GDP,1979,0.7
2223,Japan,RD&D per thousand units of GDP,1988,0.703
2074,Italy,RD&D per thousand units of GDP,1980,0.703
697,Canada,RD&D per thousand units of GDP,2013,0.704
3912,Sweden,RD&D per thousand units of GDP,1985,0.705
2245,Japan,RD&D per thousand units of GDP,2010,0.707
694,Canada,RD&D per thousand units of GDP,2010,0.708
387,Belgium,RD&D per thousand units of GDP,1985,0.716
1245,Finland,RD&D per thousand units of GDP,1997,0.716
671,Canada,RD&D per thousand units of GDP,1987,0.719
4474,United States,RD&D per thousand units of GDP,1983,0.72
976,Denmark,RD&D per thousand units of GDP,2010,0.725
4466,United States,RD&D per thousand units of GDP,1975,0.727
2212,Japan,RD&D per thousand units of GDP,1977,0.732
3770,Spain,RD&D per thousand units of GDP,1984,0.737
4335,United Kingdom,RD&D per thousand units of GDP,1985,0.752
2242,Japan,RD&D per thousand units of GDP,2007,0.76
2244,Japan,RD&D per thousand units of GDP,2009,0.76
385,Belgium,RD&D per thousand units of GDP,1983,0.762
2246,Japan,RD&D per thousand units of GDP,2011,0.763
1255,Finland,RD&D per thousand units of GDP,2007,0.764
2243,Japan,RD&D per thousand units of GDP,2008,0.772
660,Canada,RD&D per thousand units of GDP,1976,0.778
2247,Japan,RD&D per thousand units of GDP,2012,0.78
659,Canada,RD&D per thousand units of GDP,1975,0.782
3911,Sweden,RD&D per thousand units of GDP,1984,0.783
3905,Sweden,RD&D per thousand units of GDP,1978,0.784
2918,Netherlands,RD&D per thousand units of GDP,1978,0.786
2213,Japan,RD&D per thousand units of GDP,1978,0.787
1515,Germany,RD&D per thousand units of GDP,1985,0.788
386,Belgium,RD&D per thousand units of GDP,1984,0.79
2226,Japan,RD&D per thousand units of GDP,1991,0.793
2227,Japan,RD&D per thousand units of GDP,1992,0.794
2925,Netherlands,RD&D per thousand units of GDP,1985,0.794
2917,Netherlands,RD&D per thousand units of GDP,1977,0.796
2916,Netherlands,RD&D per thousand units of GDP,1976,0.797
2241,Japan,RD&D per thousand units of GDP,2006,0.8
4473,United States,RD&D per thousand units of GDP,1982,0.807
2240,Japan,RD&D per thousand units of GDP,2005,0.809
2225,Japan,RD&D per thousand units of GDP,1990,0.811
4467,United States,RD&D per thousand units of GDP,1976,0.811
2228,Japan,RD&D per thousand units of GDP,1993,0.817
2920,Netherlands,RD&D per thousand units of GDP,1980,0.817
1374,France,RD&D per thousand units of GDP,1985,0.819
2232,Japan,RD&D per thousand units of GDP,1997,0.819
1504,Germany,RD&D per thousand units of GDP,1974,0.819
4327,United Kingdom,RD&D per thousand units of GDP,1977,0.821
2239,Japan,RD&D per thousand units of GDP,2004,0.823
4334,United Kingdom,RD&D per thousand units of GDP,1984,0.823
2919,Netherlands,RD&D per thousand units of GDP,1979,0.823
661,Canada,RD&D per thousand units of GDP,1977,0.824
2235,Japan,RD&D per thousand units of GDP,2000,0.828
1266,Finland,RD&D per thousand units of GDP,2018,0.828
2236,Japan,RD&D per thousand units of GDP,2001,0.829
2234,Japan,RD&D per thousand units of GDP,1999,0.834
3235,Norway,RD&D per thousand units of GDP,2013,0.834
384,Belgium,RD&D per thousand units of GDP,1982,0.835
2233,Japan,RD&D per thousand units of GDP,1998,0.837
380,Belgium,RD&D per thousand units of GDP,1978,0.84
1514,Germany,RD&D per thousand units of GDP,1984,0.847
2921,Netherlands,RD&D per thousand units of GDP,1981,0.85
3240,Norway,RD&D per thousand units of GDP,2018,0.852
658,Canada,RD&D per thousand units of GDP,1974,0.854
1820,Hungary,RD&D per thousand units of GDP,2008,0.861
664,Canada,RD&D per thousand units of GDP,1980,0.865
2229,Japan,RD&D per thousand units of GDP,1994,0.865
2081,Italy,RD&D per thousand units of GDP,1987,0.869
1256,Finland,RD&D per thousand units of GDP,2008,0.869
2230,Japan,RD&D per thousand units of GDP,1995,0.869
2082,Italy,RD&D per thousand units of GDP,1988,0.871
1824,Hungary,RD&D per thousand units of GDP,2012,0.872
381,Belgium,RD&D per thousand units of GDP,1979,0.872
2231,Japan,RD&D per thousand units of GDP,1996,0.873
1264,Finland,RD&D per thousand units of GDP,2016,0.874
2214,Japan,RD&D per thousand units of GDP,1979,0.88
1821,Hungary,RD&D per thousand units of GDP,2009,0.887
1513,Germany,RD&D per thousand units of GDP,1983,0.889
2224,Japan,RD&D per thousand units of GDP,1989,0.891
1822,Hungary,RD&D per thousand units of GDP,2010,0.891
4332,United Kingdom,RD&D per thousand units of GDP,1982,0.893
2076,Italy,RD&D per thousand units of GDP,1982,0.896
1823,Hungary,RD&D per thousand units of GDP,2011,0.9
2238,Japan,RD&D per thousand units of GDP,2003,0.902
383,Belgium,RD&D per thousand units of GDP,1981,0.91
1506,Germany,RD&D per thousand units of GDP,1976,0.91
1124,Estonia,RD&D per thousand units of GDP,2017,0.916
4329,United Kingdom,RD&D per thousand units of GDP,1979,0.918
2222,Japan,RD&D per thousand units of GDP,1987,0.92
3910,Sweden,RD&D per thousand units of GDP,1983,0.926
4330,United Kingdom,RD&D per thousand units of GDP,1980,0.926
670,Canada,RD&D per thousand units of GDP,1986,0.927
663,Canada,RD&D per thousand units of GDP,1979,0.941
3907,Sweden,RD&D per thousand units of GDP,1980,0.942
4333,United Kingdom,RD&D per thousand units of GDP,1983,0.949
1265,Finland,RD&D per thousand units of GDP,2017,0.954
3238,Norway,RD&D per thousand units of GDP,2016,0.957
4328,United Kingdom,RD&D per thousand units of GDP,1978,0.961
3239,Norway,RD&D per thousand units of GDP,2017,0.976
665,Canada,RD&D per thousand units of GDP,1981,0.984
669,Canada,RD&D per thousand units of GDP,1985,0.985
1505,Germany,RD&D per thousand units of GDP,1975,0.989
3234,Norway,RD&D per thousand units of GDP,2012,0.995
3906,Sweden,RD&D per thousand units of GDP,1979,0.999
2237,Japan,RD&D per thousand units of GDP,2002,1.001
1507,Germany,RD&D per thousand units of GDP,1977,1.002
4331,United Kingdom,RD&D per thousand units of GDP,1981,1.003
4325,United Kingdom,RD&D per thousand units of GDP,1975,1.015
4326,United Kingdom,RD&D per thousand units of GDP,1976,1.022
662,Canada,RD&D per thousand units of GDP,1978,1.023
4472,United States,RD&D per thousand units of GDP,1981,1.029
4324,United Kingdom,RD&D per thousand units of GDP,1974,1.033
3231,Norway,RD&D per thousand units of GDP,2009,1.035
2077,Italy,RD&D per thousand units of GDP,1983,1.042
382,Belgium,RD&D per thousand units of GDP,1980,1.043
1508,Germany,RD&D per thousand units of GDP,1978,1.051
1262,Finland,RD&D per thousand units of GDP,2014,1.052
3909,Sweden,RD&D per thousand units of GDP,1982,1.058
666,Canada,RD&D per thousand units of GDP,1982,1.061
